Player ID,National Team,Debut Date,Games Played,Goals Scored
678845,Schweiz U16,22.10.2019,2,-
678845,Schweiz U15,07.05.2019,4,-
667467,Schweiz U18,25.03.2022,2,-
667467,Schweiz U15,16.04.2019,2,-
678842,Schweiz U15,07.05.2019,4,-
678844,Schweiz U15,07.05.2019,2,-
667455,Schweiz U20,06.09.2024,2,-
667455,Schweiz U19,20.10.2022,1,-
667455,Schweiz U16,24.09.2019,2,1
667455,Schweiz U15,16.04.2019,2,-
667470,Schweiz U19,26.04.2022,6,1
667470,Schweiz U18,01.09.2021,5,-
667470,Schweiz U16,24.09.2019,4,-
667470,Schweiz U15,16.04.2019,4,2
667456,Schweiz U19,20.10.2022,1,-
667456,Schweiz U15,16.04.2019,4,-
604780,Schweiz U20,06.09.2024,2,-
604780,Schweiz U19,21.09.2022,4,-
604780,Schweiz U18,01.09.2021,4,-
604780,Schweiz U16,24.09.2019,2,1
604780,Schweiz U15,16.04.2019,4,1
667464,Schweiz U19,17.05.2022,2,-
667464,Schweiz U16,24.09.2019,2,-
667464,Schweiz U15,16.04.2019,3,-
659283,Schweiz U15,16.04.2019,2,-
679222,Schweiz U15,07.05.2019,2,-
679218,Schweiz U15,07.05.2019,2,-
679221,Schweiz U15,07.05.2019,2,-
678846,Schweiz U19,19.05.2022,4,-
678846,Schweiz U18,01.09.2021,6,1
678846,Schweiz U16,24.09.2019,2,-
678846,Schweiz U15,07.05.2019,4,-
678846,Portugal U15,-,-,-
631846,Schweiz U16,26.09.2019,1,-
631846,Schweiz U15,07.05.2019,4,-
659452,Österreich U19,21.09.2022,2,-
659452,Österreich U18,07.10.2021,4,-
659452,Schweiz U15,16.04.2019,2,-
679220,Schweiz U15,07.05.2019,4,1
604826,Schweiz U16,22.10.2019,1,-
604826,Schweiz U15,07.05.2019,2,-
678847,Schweiz U19,26.04.2022,4,1
678847,Schweiz U18,23.03.2022,3,-
678847,Schweiz U15,07.05.2019,2,1
667463,Schweiz U15,16.04.2019,2,-
667459,Schweiz U19,26.04.2022,4,-
667459,Schweiz U18,01.09.2021,3,-
667459,Schweiz U15,16.04.2019,4,2
667460,Schweiz U16,24.09.2019,4,-
667460,Schweiz U15,16.04.2019,4,-
678848,Schweiz U16,22.10.2019,2,-
678848,Schweiz U15,07.05.2019,4,4
667461,Schweiz U15,21.05.2019,2,-
679229,Schweiz U19,17.05.2022,3,1
679229,Schweiz U15,07.05.2019,2,-
633190,Schweiz U19,06.10.2021,6,1
633190,Schweiz U18,01.09.2021,3,-
633190,Schweiz U17,24.09.2019,5,-
633190,Schweiz U15,16.04.2019,2,-
539804,Schweiz U20,28.03.2022,3,-
539804,Schweiz U19,12.10.2021,1,-
539804,Schweiz U17,06.09.2019,6,-
539804,Schweiz U16,25.09.2018,3,-
539804,Schweiz U15,19.09.2017,6,-
579458,Schweiz U16,25.10.2018,2,-
579458,Schweiz U15,17.04.2018,1,-
539806,Schweiz U16,27.09.2018,1,-
539806,Schweiz U15,19.09.2017,4,-
539807,Portugal U21,15.10.2024,1,-
539807,Portugal U20,23.09.2022,1,-
539807,Portugal U19,03.09.2021,3,-
539807,Schweiz U17,06.09.2019,5,-
539807,Schweiz U16,25.09.2018,8,-
539807,Schweiz U15,19.09.2017,6,-
579459,Schweiz,-,-,-
579459,Schweiz U21,30.05.2021,9,-
579459,Schweiz U19,06.10.2021,5,-
579459,Schweiz U17,08.09.2019,5,-
579459,Schweiz U16,25.09.2018,8,1
579459,Schweiz U15,17.04.2018,4,-
539795,Schweiz,-,-,-
539795,Schweiz U21,30.05.2021,5,-
539795,Schweiz U17,06.09.2019,4,1
539795,Schweiz U16,25.10.2018,4,1
539795,Schweiz U15,19.09.2017,8,1
539797,Mexiko U23,-,-,-
539797,Schweiz U20,28.03.2022,1,-
539797,Schweiz U19,03.09.2021,8,1
539797,Schweiz U17,06.09.2019,8,1
539797,Schweiz U16,25.09.2018,7,-
539797,Schweiz U15,19.09.2017,7,-
467136,Schweiz U17,06.09.2019,5,-
467136,Schweiz U16,25.09.2018,9,1
467136,Schweiz U15,19.09.2017,6,-
539808,Schweiz U21,06.09.2024,2,-
539808,Schweiz U20,28.03.2022,2,-
539808,Schweiz U19,03.09.2021,6,-
539808,Schweiz U16,27.09.2018,5,-
539808,Schweiz U15,19.09.2017,7,-
579460,Schweiz U19,03.09.2021,2,-
579460,Schweiz U16,25.10.2018,1,-
579460,Schweiz U15,17.10.2017,4,-
539790,Schweiz U17,24.09.2019,3,-
539790,Schweiz U15,19.09.2017,7,-
539796,Schweiz U16,25.09.2018,3,-
539796,Schweiz U15,19.09.2017,5,-
539809,Schweiz U20,28.03.2022,3,-
539809,Schweiz U19,06.10.2021,6,-
539809,Schweiz U17,08.09.2019,4,-
539809,Schweiz U16,25.09.2018,7,1
539809,Schweiz U15,19.09.2017,6,1
544409,Schweiz U16,25.09.2018,2,-
544409,Schweiz U15,17.04.2018,2,-
539799,Schweiz U17,08.09.2019,2,-
539799,Schweiz U15,19.09.2017,6,3
539811,Schweiz U20,28.03.2022,3,-
539811,Schweiz U19,06.09.2021,7,2
539811,Schweiz U17,26.09.2019,2,1
539811,Schweiz U16,23.10.2018,5,1
539811,Schweiz U15,19.09.2017,7,1
539794,Schweiz U19,03.09.2021,5,1
539794,Schweiz U17,06.09.2019,3,2
539794,Schweiz U16,25.09.2018,8,-
539794,Schweiz U15,19.09.2017,7,4
539810,Schweiz U21,17.11.2023,1,-
539810,Schweiz U19,06.10.2021,3,1
539810,Schweiz U16,25.09.2018,7,-
539810,Schweiz U15,19.09.2017,7,-
539793,Schweiz U20,-,-,-
539793,Schweiz U19,10.11.2021,3,1
539793,Schweiz U17,06.09.2019,4,-
539793,Schweiz U16,25.09.2018,7,-
539793,Schweiz U15,19.09.2017,6,-
539801,Schweiz U21,22.09.2022,13,2
539801,Schweiz U20,28.03.2022,1,1
539801,Schweiz U19,03.09.2021,7,5
539801,Schweiz U17,06.09.2019,7,7
539801,Schweiz U16,25.09.2018,8,1
539801,Schweiz U15,19.09.2017,7,4
539800,Schweiz U19,26.04.2022,3,-
539800,Schweiz U18,23.03.2022,1,-
539800,Schweiz U17,06.09.2019,3,2
539800,Schweiz U16,25.09.2018,11,7
539800,Schweiz U15,19.09.2017,8,4
500764,Schweiz U18,10.10.2019,1,-
500764,Schweiz U17,28.08.2018,-,-
500764,Schweiz U16,19.09.2017,3,-
500764,Schweiz U15,-,-,-
467122,Schweiz U18,-,-,-
467122,Schweiz U17,30.08.2018,2,-
467122,Schweiz U16,21.09.2017,2,-
467122,Schweiz U15,15.09.2016,4,-
539792,Schweiz U15,19.09.2017,4,-
507345,Schweiz,12.06.2022,6,-
