Player ID,National Team,Debut Date,Games Played,Goals Scored,National Team ID
47607,Schweiz U19,06.09.2008,7,-,19429
47607,Schweiz U18,12.09.2007,4,-,22998
47607,Schweiz U17,21.08.2006,11,2,23140
47607,Schweiz U16,01.11.2005,6,2,28155
64804,Portugal U20,03.06.2011,2,-,16373
64804,Schweiz U19,02.09.2009,2,-,19429
64804,Schweiz U18,22.09.2008,4,-,22998
64804,Schweiz U17,24.08.2007,12,-,23140
64804,Schweiz U16,27.09.2006,4,1,28155
74537,Schweiz U21,19.11.2008,5,-,9534
74537,Schweiz U20,08.09.2009,3,2,16817
74537,Schweiz U19,05.06.2009,6,3,19429
74972,Schweiz U19,13.11.2009,2,-,19429
74972,Schweiz U17,10.05.2008,1,-,23140
990637,Schweiz U21,12.09.2023,8,-,9534
583058,Schweiz U21,28.03.2023,9,3,9534
583058,Schweiz U20,28.03.2022,2,2,16817
620832,Schweiz U21,10.09.2024,3,-,9534
620832,Schweiz U20,24.03.2023,2,-,16817
671806,Schweiz U21,12.09.2023,8,2,9534
671806,Schweiz U20,24.03.2023,2,1,16817
608212,Schweiz U21,12.09.2023,10,1,9534
608212,Schweiz U20,28.03.2022,3,1,16817
608212,Portugal U16,-,-,-,31372
627196,Schweiz U21,12.09.2023,10,2,9534
627196,Schweiz U20,28.03.2022,1,1,16817
727538,Schweiz U21,26.03.2024,2,1,9534
608160,Schweiz U21,17.10.2023,2,-,9534
608160,Schweiz U20,28.03.2022,3,1,16817
707759,Schweiz U21,12.09.2023,10,2,9534
448169,Kosovo,12.10.2024,1,-,53982
448169,Schweiz U21,30.05.2021,14,-,9534
448169,Schweiz U20,06.06.2019,4,-,16817
496239,Schweiz U21,30.05.2021,3,-,9534
479268,Schweiz U21,30.05.2021,13,1,9534
620834,Schweiz U21,13.10.2023,4,-,9534
620834,Schweiz U20,28.03.2023,1,-,16817
620757,Schweiz U21,-,-,-,9534
608172,Schweiz,27.09.2022,2,-,3384
608172,Schweiz U21,25.03.2022,10,-,9534
484743,Schweiz U21,30.05.2021,13,2,9534
484743,Schweiz U20,06.06.2019,7,-,16817
807941,Schweiz U21,12.09.2023,1,-,9534
807941,Schweiz U20,06.09.2024,2,-,16817
684604,Schweiz U21,21.11.2023,1,-,9534
548729,Schweiz,27.09.2022,23,9,3384
548729,Schweiz U21,30.05.2021,15,9,9534
548729,Türkei U21,30.03.2021,1,-,9568
548729,Schweiz U20,14.11.2019,2,-,16817
707550,Schweiz U21,12.09.2023,2,-,9534
458417,Schweiz U21,22.09.2022,1,-,9534
458417,Schweiz U20,18.11.2019,1,-,16817
365107,Schweiz U21,12.10.2021,8,1,9534
395671,Schweiz,-,-,-,3384
395671,Schweiz U21,16.11.2018,13,-,9534
395671,Schweiz U20,04.09.2017,7,-,16817
541420,Demokratische Republik Kongo,-,-,-,3854
541420,Schweiz U21,-,-,-,9534
541420,Schweiz U20,-,-,-,16817
541420,Demokratische Republik Kongo U17,07.10.2015,1,-,51024
410870,Schweiz U21,30.05.2021,6,-,9534
342063,Schweiz U21,11.09.2018,14,1,9534
342063,Schweiz U20,25.03.2019,1,-,16817
443419,Schweiz U21,-,-,-,9534
443419,Schweiz U20,-,-,-,16817
443419,Schweiz U19,-,-,-,19429
449592,Schweiz U21,-,-,-,9534
345886,Schweiz,08.09.2019,50,8,3384
345886,Schweiz U21,16.10.2018,7,3,9534
345886,Schweiz U20,23.03.2018,2,1,16817
293247,Schweiz U21,27.03.2018,2,-,9534
203981,Peru,-,-,-,3584
203981,Schweiz U21,10.11.2016,5,-,9534
203981,Schweiz U20,03.09.2015,5,-,16817
359079,Schweiz U21,-,-,-,9534
359079,Schweiz U20,06.09.2018,3,-,16817
247555,Schweiz,13.11.2016,32,2,3384
247555,Schweiz U21,26.03.2016,6,2,9534
254965,Schweiz,-,-,-,3384
254965,Schweiz U21,10.11.2016,7,-,9534
254965,Schweiz U20,01.09.2016,3,-,16817
294583,Kosovo,17.11.2018,1,-,53982
294583,Schweiz U21,13.06.2017,2,-,9534
294583,Schweiz U20,10.11.2016,2,-,16817
238809,Kosovo,10.06.2019,34,1,53982
238809,Schweiz,01.06.2017,1,-,3384
238809,Schweiz U21,04.09.2014,10,-,9534
238809,Schweiz U20,15.11.2013,3,-,16817
284020,Albanien,-,-,-,3561
284020,Schweiz U21,07.09.2015,4,1,9534
284020,Schweiz U20,17.11.2015,1,-,16817
284730,Schweiz,09.06.2017,69,3,3384
284730,Schweiz U21,18.11.2014,4,-,9534
284730,Schweiz U20,07.09.2014,5,-,16817
247223,Schweiz U21,07.09.2015,2,-,9534
247223,Schweiz U20,26.03.2015,2,-,16817
269526,Schweiz U21,18.11.2014,2,-,9534
269526,Schweiz U20,04.08.2014,5,-,16817
192846,Schweiz U21,18.11.2014,1,-,9534
192846,Schweiz U20,10.09.2013,6,-,16817
235491,Schweiz U21,-,-,-,9534
235491,Schweiz U20,04.09.2014,3,-,16817
284691,Kosovo,29.05.2018,1,-,53982
284691,Schweiz U21,18.11.2014,1,-,9534
284691,Schweiz U20,04.09.2014,5,-,16817
119627,Schweiz U21,14.08.2013,5,1,9534
119627,Schweiz U20,31.08.2011,8,-,16817
159706,Albanien,27.05.2012,1,-,3561
159706,Schweiz U21,06.02.2013,10,2,9534
159706,Albanien U21,26.03.2011,10,1,11952
167190,Schweiz U21,26.03.2013,1,-,9534
167190,Schweiz U20,14.11.2012,9,-,16817
59027,Schweiz,18.11.2014,9,-,3384
59027,Schweiz U21,10.08.2011,12,-,9534
59027,Schweiz U20,09.10.2009,7,-,16817
59027,Schweiz U19,09.09.2008,1,-,19429
59027,Schweiz U18,23.10.2007,1,-,22998
78868,Zypern,17.06.2023,14,-,3668
78868,Schweiz U21,-,-,-,9534
78868,Schweiz U20,05.10.2011,5,-,16817
135343,Schweiz,14.08.2013,86,8,3384
135343,Schweiz U21,29.02.2012,5,1,9534
135343,Schweiz U20,17.11.2010,3,-,16817
135343,Schweiz Olympia,26.07.2012,2,-,53823
79392,Schweiz U21,29.02.2012,1,-,9534
