Player ID,Player Name,First Similar Player,Similarity Score 1,Second Similar Player,Similarity Score 2,Third Similar Player,Similarity Score 3
932187,Sascha Britschgi,Philippe Senderos,0.5685338909748348,François Affolter,0.5608336932578458,Silvan Widmer,0.5212633560805018
932188,Simone Mestre,François Affolter,0.5735453422410841,Philippe Senderos,0.5430952165054305,Philipp Degen,0.5430627136111804
932193,Mario Greco,Admir Mehmedi,0.8270518488056676,Josip Drmic,0.7876249342717083,Rubén Vargas,0.4479788243230306
932194,Mark Mihaljevic,Signori Antonio,0.839007474392298,Granit Xhaka,-0.01773691774246034,Pajtim Kasami,-0.02247971900077563
932195,Adam St-Pierre,Signori Antonio,0.7232892003939547,Pajtim Kasami,-0.02850964324901372,Alex Frei,-0.028962503658862715
939979,Francesco Lentini,Josip Drmic,0.5906686730326633,Valentin Stocker,0.587052900270358,Admir Mehmedi,0.580450950097194
940390,Lorin Jetzer,François Affolter,0.706451570781206,Philipp Degen,0.527079587784668,Lars Traber,0.5065324325148627
940401,Mohamed Ishuayed,Alain Wiss,0.46999505538406916,Kastriot Imeri,0.46806079302597237,Ardon Jashari,0.4667744712865813
944830,Gentrit Muslija,Signori Antonio,0.832472925411409,Pajtim Kasami,0.025424274274123,Fabian Rieder,0.007361968209541057
945133,Marcel Lapierre,Signori Antonio,0.7895861148058584,Pajtim Kasami,0.018487588781018603,Fabian Rieder,0.004101681543167717
947168,Darko Lötscher,Admir Mehmedi,0.6033047417863866,Josip Drmic,0.5659092229924721,Valentin Stocker,0.5430315723317786
948735,Mattia Rizzo,François Affolter,0.7561678268662176,Ricardo Rodríguez,0.5481471326940542,Philippe Senderos,0.4540451344154152
948736,Corsin Konietzke,Fabian Rieder,0.675953503049913,Alain Wiss,0.6597876616137335,Kastriot Imeri,0.6575023339158259
948737,Daniele Trivellin,Valentin Stocker,0.6414105698294459,Josip Drmic,0.5959574499145573,Rubén Vargas,0.5850918020364773
948738,Timo Weber,François Affolter,0.6930135568267211,Philipp Degen,0.5025268219410534,Becir Omeragic,0.4937295292655442
951660,Marwan Aubert,Signori Antonio,0.7689060002859761,Pajtim Kasami,-0.0056422323414501725,Ricardo Rodríguez,-0.01567526410766407
957139,Tarik Seferovic,François Affolter,0.6368721094187169,Philippe Senderos,0.5456218867520708,Silvan Widmer,0.48534399452386623
980556,Adrien Bernhardsgrütter,Philipp Degen,0.6333129884363373,Lars Traber,0.612291112268348,Rolf Feltscher,0.594695313993679
990637,Zachary Athekame,Philippe Senderos,0.5984198030382188,Silvan Widmer,0.5792987605371789,François Affolter,0.5722202505969547
992965,Kiswend Tologo,Nico Elvedi,0.5427738116927183,Philippe Senderos,0.5042145474122176,Reto Ziegler,0.4992926077818253
994389,Winsley Boteli,Admir Mehmedi,0.7780245591828181,Josip Drmic,0.6815806777284754,Alex Frei,0.5115959884952894
995817,Dorian Derbaci,Alain Wiss,0.678335600096097,Kastriot Imeri,0.6763189845529021,Fabian Rieder,0.6761646554955264
995818,Elohim Kamoko,François Affolter,0.7480796342586035,Philippe Senderos,0.4956260404628412,Ricardo Rodríguez,0.48591540275732775
999886,Loun Srdanovic,François Affolter,0.7144831016791957,Philippe Senderos,0.452102772628111,Philipp Degen,0.44098992168956463
1015752,Gabriel Bechinger,François Affolter,0.5761031703754739,Philippe Senderos,0.5701103866837047,Arlind Ajeti,0.5368892733255648
1015753,Valentin Beck,François Affolter,0.572004321579433,Lars Traber,0.559637277660032,Philipp Degen,0.5572894840694947
1015754,Jérôme Bieler,Signori Antonio,0.7962435337562993,Pajtim Kasami,0.037596515414094436,Fabian Rieder,0.025395024501727037
1015755,Giuliano Bieri,Arlind Ajeti,0.5788034275614754,Philippe Senderos,0.5689185331743536,Lars Traber,0.5521501017749852
1015756,Ryan Bucher,Becir Omeragic,0.6151356455504658,Arlind Ajeti,0.6109585969129355,Adrian Bajrami,0.6071719693355118
1015757,Simon Graber,François Affolter,0.5669837271128413,Philipp Degen,0.5667599141097853,Philippe Senderos,0.5550634914080981
1015758,Mahé Guaico,Izet Hajrovic,0.9966966065287942,Mersim Asllani,0.9963332343182156,Steven Zuber,0.9917989522488665
1015759,Eronis Haxhiu,Edimilson Fernandes,0.4653754222489583,Johan Vonlanthen,0.3770781042901837,Alain Wiss,0.37427091141018654
1015760,Melvin Hodza,Valentin Stocker,0.6203081895913586,Josip Drmic,0.5831802363192722,Admir Mehmedi,0.5754107166924031
1015761,Jamiro Huber,Oliver Buff,0.9984990982660603,Amir Abrashi,0.9981497190263635,Nikola Gjorgjev,0.9944367340328115
1015763,Loris Macumi,Josip Drmic,0.6878827957733654,Admir Mehmedi,0.6815214395147232,Valentin Stocker,0.5586007374046159
1015764,Gabriel Marotta,Oliver Buff,0.9999105886841103,Lorik Emini,0.9971808941063344,Mergim Brahimi,0.9965723532973022
1015765,Philipp Muff,Johan Vonlanthen,0.548580990944126,Djibril Sow,0.49202859869613047,Nzuzi Toko,0.46460375287923894
1015766,Enis Nimoni,Johan Vonlanthen,0.5072584837726724,Djibril Sow,0.4652588479728831,Alain Wiss,0.4482811342218018
1015767,Evin Oektem,Johan Vonlanthen,0.48701682757652565,Djibril Sow,0.4815564448984774,Alain Wiss,0.47199552216313384
1015768,Elia Pecora,Signori Antonio,0.7541179256549286,Pajtim Kasami,-0.026772565335069914,Xherdan Shaqiri,-0.02958062629688953
